"issue";"date";"outlet";"language";"origin";"reported by";"keywords";"source";"title";"summary";"disproof"
"70";"17.05.2017";"Protiproud";"Czech";"EU, US, France";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"NGO, Nazi/Fascist";"http://bit.ly/2qKNyZs";"The EU inception was initiated by Nazis and American NGOs. // In France, 600 entreprises and 200 farms are closed daily. There are 7 million unemployed people, 9 million people live in exceptionally poor conditions and other 11 million below the poverty line.";"The EU inception was initiated by Nazis and American NGOs. // In France, 600 entreprises and 200 farms are closed daily. There are 7 million unemployed people, 9 million people live in exceptionally poor conditions and other 11 million below the poverty line.";"No evidence given. The European Union is set up as a peace project in the aftermath of the Second World War. http://bit.ly/2cnX6Dg // Claims debunked by Le Decodeur http://lemde.fr/2bUV61o, http://bit.ly/2iw9zbC"
"70";"17.05.2017";"RT";"Russian";"Ukraine";"East Stratcom Network";"Sovereignty, Ukrainian statehood";"http://bit.ly/2qj10Ap";"Ukraine is not a sovereign state but relies 100% on foreign aid.";"Ukraine is not a sovereign state but relies 100% on foreign aid.";"No evidence given. According to the official data of Ukraine, 90.45% of the Ukrainian state budget are tax revenues http://bit.ly/2qan84P"
"70";"17.05.2017";"SMNews";"Russian";"Ukraine, EU";"East Stratcom Network";"Visa liberalisation";"http://bit.ly/2rPp8wB";"90% of Ukrainians cannot take advantage of the visa-free travel to the EU.";"90% of Ukrainians cannot take advantage of the visa-free travel to the EU.";"No evidence given. The adoption of the visa-free regime was warmly welcomed in Ukraine: http://bit.ly/2sdjioY // The entry is forbidden to people who are internationally prosecuted, or to people who are threat to public order: http://bit.ly/2oETFP9"
"70";"16.05.2017";"Nová republika";"Czech";"Czech Republic";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Democracy, Coup, Nazi/Fascist";"http://bit.ly/2rwjcey";"A dismantling of democracy is happening in the Czech Republic. The Parliament has transformed into a tool for the elimination of political competition. Today´s state can be compared to the coup organized by the communists and the Fascists.";"A dismantling of democracy is happening in the Czech Republic. The Parliament has transformed into a tool for the elimination of political competition. Today´s state can be compared to the coup organized by the communists and the Fascists.";"No evidence given. The Czech Republic is a representative democracy."
"70";"16.05.2017";"Nová republika";"Czech";"Czech Republic";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Democracy, Coup, Nazi/Fascist";"http://bit.ly/2rwjcey";"A dismantling of democracy is happening in the Czech Republic. The Parliament has transformed into a tool for the elimination of political competition. Today´s state can be compared to the coup organized by the communists and the Fascists.";"A dismantling of democracy is happening in the Czech Republic. The Parliament has transformed into a tool for the elimination of political competition. Today´s state can be compared to the coup organized by the communists and the Fascists.";"No evidence given. The Czech Republic is a representative democracy."
"71";"16.05.2017";"aeronet.cz";"Czech";"Russia";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Democratic Party (US), Wikileaks";"http://bit.ly/2rIsljY";"The story about Russia's involvement in the DNC hack is finally debunked, the leaked DNC emails were given to Wikileaks by a DNC staffer Seth Rich, who got killed for that.";"The story about Russia's involvement in the DNC hack is finally debunked, the leaked DNC emails were given to Wikileaks by a DNC staffer Seth Rich, who got killed for that.";"The detective who came up with the claim later denied it. Fox News, the original source of the claim, retracted the story. Seth Rich's family also denied the story: http://bit.ly/2rREmUW"
"70";"15.05.2017";"Hídfő";"Hungarian";"Vatican";"Political Capital Institute";"Secret elites / global elites, Pope Francis";"http://bit.ly/2rzfMUI";"It has been revealed that the Pope is a member of the Freemasons.";"It has been revealed that the Pope is a member of the Freemasons.";"No evidence given. Freemasons are a common target of conspiracy theories."
"70";"15.05.2017";"Aeronet";"Czech";"Russia, Baltic states, US";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Nuclear issues, NATO";"http://bit.ly/2rOQLoO";"The US wants to launch a preventive nuclear attack on Russia, and NATO plans to invade Russia in the Baltic region.";"The US wants to launch a preventive nuclear attack on Russia, and NATO plans to invade Russia in the Baltic region.";"No evidence given. NATO has a whole section on its website dedicated to re-occuring pro-Kremlin myths http://bit.ly/2rd8tpz"
"70";"15.05.2017";"‘Mesto vstrechi’ (10:00)";"Russian";"Russia, US";"Pavel Spirin, former journalist";"Wanna Cry, Cyber, NSA";"http://bit.ly/2rwAtV2";"The virus Wanna Cry’s attack was backed by the National Security Agency of the US in order to camouflage its activity all over the world and to blame Russia.";"The virus Wanna Cry’s attack was backed by the National Security Agency of the US in order to camouflage its activity all over the world and to blame Russia.";"No evidence given. The investigation is still ongoing http://bit.ly/2qfUA6N."
"70";"15.05.2017";"hardnews.info";"Russian";"Ukraine, Poland";"East StratCom Network";"Stepan Bandera";"http://bit.ly/2qrdxa8";"Polish schoolgirls have beaten up a Ukrainian colleague, they were calling her a ""banderist whore"".";"Polish schoolgirls have beaten up a Ukrainian colleague, they were calling her a ""banderist whore"".";"The incident occurred between Polish pupils, no Ukrainian was involved, nothing about ""banderists"" was said: http://bit.ly/2renZRt"
"71";"14.05.2017";"RIA Novosti Ukraina";"Russian";"Ukraine";"StopFake.org";"Donbas, Petro Poroshenko";"http://bit.ly/2rHOsVy";"Ukrainian President Petro Poroshenko is advocating cutting off the Donbas area of Ukraine and building a wall to separate it from Ukraine.";"Ukrainian President Petro Poroshenko is advocating cutting off the Donbas area of Ukraine and building a wall to separate it from Ukraine.";"In fact, Petro Poroshenko has said precisely the opposite: “There is an offer to cut off these lands, give them to Putin, build a wall, forget about the Donbas, because we will never get it back … These are not propositions that I could ever consider."" http://bit.ly/2sNtOmr"
"70";"14.05.2017";"Regnum";"Armenian";"Armenia, US";"SUT.am";"Biological weapons";"http://bit.ly/2q38ood";"The laboratories in Yerevan, Gyumri and Ijevan which opened in 2016 with the funding provided by the Defense Threat Reduction Agency of the US Department of Defense have dual function and may create biological weapons.";"The laboratories in Yerevan, Gyumri and Ijevan which opened in 2016 with the funding provided by the Defense Threat Reduction Agency of the US Department of Defense have dual function and may create biological weapons.";"No evidence given. Similar disinformation has been spread about South Caucasus countries previously (see e.g issue 13 of the Disinfo Review, issue 40, issue 62). Both the Ministry of Health and the US Embassy in Yerevan denied the information: http://bit.ly/2q9OqnX, http://bit.ly/2q3auEy."
"70";"14.05.2017";"RT";"English";"Italy, Libya, Germany";"East Stratcom Network";"Migration crisis";"https://on.rt.com/8bo7";"Germany and Italy want to take control of Libya-Niger border to stem flow of migrants.";"Germany and Italy want to take control of Libya-Niger border to stem flow of migrants.";"No evidence given. The EU Border Assistance Mission (EUBAM) in Libya is not a German-Italian initiative, but an EU presence. It is in the area to support the government in managing their border with full agreement of Libyan authorities http://bit.ly/2rIEq6e. The Mission's current staff ceiling is 23 internationals (http://bit.ly/2rntEVf)."
"69";"13.05.2017";"Regnum";"Russian";"Ukraine, US";"East Stratcom Network";"War in Ukraine";"http://bit.ly/2nKZE3r";"The Kiev regime turned its soldiers into guinea pigs for the US.";"The Kiev regime turned its soldiers into guinea pigs for the US.";"No evidence given. The US Army is engaged in a training mission in Ukraine http://bit.ly/2nKZE3r."
"69";"13.05.2017";"rys-strategia.ru";"Russian";"China, Russia, US";"Oleksandr Nykonorov, journalist for Depo.ua, blogger, researcher";"Nuclear issues, Missile defence system";"http://bit.ly/2qmDAgS";"The US is preparing the ground for a surprise nuclear strike on Russia and China through the missile defence system in Europe.";"The US is preparing the ground for a surprise nuclear strike on Russia and China through the missile defence system in Europe.";"Reoccuring disinformation. It is Russia, not the US or NATO, that has threatened on numerous occations to use nuclear weapons. For example; in a documentary broadcast by Russian state TV Rossiya on 15 March 2015 (on the occasion of the first anniversary of the illegal annexation of Crimea and Sevastopol), President Putin said that he had been ready to put nuclear weapons into play http://bit.ly/1Dwt4oE. On 16 March 2015, Dmitry Kiselev, (included on the EU's sanctions list) reminded viewers of his ""Vesti Nedeli"" show that ""Russia is the only country in the world that could turn the US into nuclear ashes"" http://bit.ly/2eFQgu6. Six days later, Russia's Ambassador to Denmark, Mikhail Vanin, threatened to aim nuclear missiles at Danish military vessels if Denmark were to join NATO's missile defense http://reut.rs/2enAimW. President Putin also brought up Russia's nuclear arms potential during a meeting with young political activists http://bit.ly/1qo0uwS and with reference to Crimea http://cnn.it/28L9fBp. See also further threats related to Crimea and the Baltics: http://ind.pn/1CRCREr. Russia has also warned other EU Member States that they are in its sights http://reut.rs/1R5cd1V."
"69";"12.05.2017";"Journalistskaya Pravda";"Russian";"Ukraine";"Oleksandr Nykonorov, journalist for Depo.ua, blogger, researcher";"War crimes, War in Ukraine, OSCE";"http://bit.ly/2qmv81s";"Ukrainian military commanders ordered their subordinates to attack the SMM OSCE car near Prishib on April 23.";"Ukrainian military commanders ordered their subordinates to attack the SMM OSCE car near Prishib on April 23.";"No evidence given. The investigation into the attack is still ongoing."
"69";"12.05.2017";"RT";"Russian";"Ukraine";"East Stratcom Network";"Trade, AA/DCFTA";"http://bit.ly/2qlR1Ms";"The trade agreement between Ukraine and the EU has failed, and leaves Ukraine at a disadvantage.";"The trade agreement between Ukraine and the EU has failed, and leaves Ukraine at a disadvantage.";"No evidence given. The provisional application of the Deep and Comprehensive Free Trade Area offers Ukraine privileged access to trade with a market of over 500 million consumers. http://bit.ly/2dQQWJq."
"69";"12.05.2017";"Svobodné noviny";"Czech";"Israel, Syria, Saudi Arabia";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Chemical weapons/attack, New World Order, Syrian War, Bashar al-Assad";"http://bit.ly/2pCeSKI";"The recent chemical attack in Syria was a false flag operation orchestrated by Saudi Arabia, Israel and New World Order agents. The rebels, unlike Assad, have been proven guilty of using sarin.";"The recent chemical attack in Syria was a false flag operation orchestrated by Saudi Arabia, Israel and New World Order agents. The rebels, unlike Assad, have been proven guilty of using sarin.";"Translation to Czech of the Veterans Today disinformation article."
"69";"12.05.2017";"Izbors.md";"Russian";"The West";"BDR Associates";"Russophobia, The West";"http://bit.ly/2qorWjU";"Russophobia is inseparable from Western identity.";"Russophobia is inseparable from Western identity.";"Often repeated disinformation that Westerners are Russophobia by nature."
"69";"12.05.2017";"‘Mesto vstrechi’ (42:31)";"Russian";"Europe, Ukraine";"Pavel Spirin, former journalist";"Visa liberalisation, Nazi/Fascist";"http://bit.ly/2qlmn7q";"After the introduction of a visa-free regime with Ukraine, tens of thousands of neo-Nazis of Ukraine will pour into Europe.";"After the introduction of a visa-free regime with Ukraine, tens of thousands of neo-Nazis of Ukraine will pour into Europe.";"No evidence given. It is an often repeated disinformation about Ukraine that they are nazis. In fact, the insignificance of the ""Right Sector"" (which don't identify as nazis but can be laballed as rightwing extremists) is evident from the election results – their candidate received 0.7% of the vote in the May 2014 presidential elections, and the party received 1.8% of the vote in the October 2014 parliamentary elections."
"69";"12.05.2017";"‘Mesto vstrechi’ (44:23)";"Russian";"Ukraine, EU";"Pavel Spirin, former journalist";"Natural resources, Visa liberalisation";"http://bit.ly/2qlmn7q";"The EU provided Ukraine with a visa-free regime in order to ‘milk’ it; taking its forests, fertile land and other resources.";"The EU provided Ukraine with a visa-free regime in order to ‘milk’ it; taking its forests, fertile land and other resources.";"No evidence given. Often repeated disinformation, we have previously reported that pro-Kremlin outlets claim that Sweden is stealing Ukranian soil for example. http://bit.ly/2oIdfcf"
"69";"11.05.2017";"Sputnik";"English";"Ukraine";"East Stratcom Network";"Emmanuel Macron";"http://bit.ly/2r8A5f6";"Macron does not care about Ukraine, and will mean bad news for the country.";"Macron does not care about Ukraine, and will mean bad news for the country.";"No evidence given. Macron has on several occations voiced supprot for Ukraine and for the Minsk agreement. http://bit.ly/2rloTci, http://bbc.in/2rl30cm."
"69";"11.05.2017";"AC24";"Czech";"Russia, US";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Deep state, Hillary Clinton, Donald Trump, Coup";"http://bit.ly/2qnJSuZ";"The U.S. deep state pushes coup against Trump. The Clinton Foundation sold 20% of U.S. uranium production to Russia.";"The U.S. deep state pushes coup against Trump. The Clinton Foundation sold 20% of U.S. uranium production to Russia.";"Translation to Czech of the Prison Planet disinformation article."
"69";"11.05.2017";"‘Vremya pokazhet’ (10:47)";"Russian";"Ukraine, EU";"Pavel Spirin, former journalist";"Occupation";"http://bit.ly/2qoTplw";"The Ukrainian people are under EU occupation.";"The Ukrainian people are under EU occupation.";"No evidence given. Ukraine is not occupied by the EU. A part of Ukraine (Crimea) is annexed by Russia."
"69";"11.05.2017";"AC24";"Czech";"Russia, US";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Deep state, Hillary Clinton, Donald Trump, Coup";"http://bit.ly/2qnJSuZ";"The U.S. deep state pushes coup against Trump. The Clinton Foundation sold 20% of U.S. uranium production to Russia.";"The U.S. deep state pushes coup against Trump. The Clinton Foundation sold 20% of U.S. uranium production to Russia.";"Translation to Czech of the Prison Planet disinformation article."
"69";"11.05.2017";"‘Vremya pokazhet’ (10:47)";"Russian";"Ukraine, EU";"Pavel Spirin, former journalist";"Occupation";"http://bit.ly/2qoTplw";"The Ukrainian people are under EU occupation.";"The Ukrainian people are under EU occupation.";"No evidence given. Ukraine is not occupied by the EU. A part of Ukraine (Crimea) is annexed by Russia."
"70";"11.05.2017";"dziennik-polityczny.com";"Polish";"US, Poland";"Centre for International Relations in the framework of the Centre or International Relations' project co-financed by the Visegrad Fund (www.visegradfund.org)";"Drugs, Military";"http://bit.ly/2qOEhOo";"American soldiers are bringing drugs to Poland, drinking alcohol in Polish cities and causing public scandals. American soldiers may do whatever they want because they cannot be punished according to Polish law.";"American soldiers are bringing drugs to Poland, drinking alcohol in Polish cities and causing public scandals. American soldiers may do whatever they want because they cannot be punished according to Polish law.";"No evidence given. American armored brigades stationed in Poland are subject, in accordance with NATO's rules, to the Polish jurisdiction. In the case of criminal liability, the jurisdiction of Polish courts apply."
"69";"10.05.2017";"Prison Planet";"English";"Russia, US";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Deep state, Hillary Clinton, Donald Trump, Coup";"http://bit.ly/2qJsV13";"The U.S. deep state pushes for a coup against Trump. The Clinton Foundation sold 20% of U.S. uranium production to Russia.";"The U.S. deep state pushes for a coup against Trump. The Clinton Foundation sold 20% of U.S. uranium production to Russia.";"Conspiracy theories, no evidence presented. The Clinton disinformation has been debunked by Spokes http://bit.ly/2dJsrlz."
"69";"10.05.2017";"Aeronet";"Czech";"Czech Republic";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"United States of Europe";"http://bit.ly/2r8X6i1";"Globalists want to build a ""New Europe"" by installing so-called state managers into individual states, one of them is the Czech Minister of Finance Babiš.";"Globalists want to build a ""New Europe"" by installing so-called state managers into individual states, one of them is the Czech Minister of Finance Babiš.";"Conspiracy theories, no evidence presented."
"69";"10.05.2017";"Pervaya Studiya @Pervyi Kanal (1:09:47)";"Russian";"Ukraine";"Pavel Spirin, former journalist";"Nazi/Fascist";"http://bit.ly/2pQ6cvg";"Nazism is taking revenge in Ukraine and Russia is the main target of it.";"Nazism is taking revenge in Ukraine and Russia is the main target of it.";"Often repeated disinformation, no evidence given. The total number of members of radical groups in Ukraine, e.g. the ‘Right Sector’, never amounted to more than a few hundred to a maximum of a thousand people http://bit.ly/1Tl9X7W . The 2014 presidential election in Ukraine was a genuine election largely in line with international commitments and respecting fundamental freedoms, despite the hostile security environment in two eastern regions http://bit.ly/1hqcDuR . Similarly, Ukraine’s local elections in October 2015 generally showed respect for the democratic process http://bit.ly/1VUL9V"
"69";"10.05.2017";"‘Vecher s Vladimirom Solovyovym’@ Rossiya 1 (4:07, 25:10, 39:58)";"Russian";"Europe, USSR, Russia";"Pavel Spirin, former journalist";"WWII, Adolf Hitler, Nazi/Fascist";"http://bit.ly/2qkWTYv";"Today, Europe envies Moscow, which managed to make the victory in WWII on par with religion // Soviet Russia was the only country that fought the Evil of Nazism, while the European nations were supporting Hitler: they either surrendered to him or fought against Russia.";"Today, Europe envies Moscow, which managed to make the victory in WWII on par with religion // Soviet Russia was the only country that fought the Evil of Nazism, while the European nations were supporting Hitler: they either surrendered to him or fought against Russia.";"European countries have not aimed to make the victory on par with religion. // Serious history revisionism. The Soviet Union was far from the ""only country"" fighting Nazi-Germany. Pro-Kremlin disinformation describes the victory day as a religious day and also denies the contribution of the Western Allies to the victory.http://bit.ly/2nMJZBM."
"69";"10.05.2017";"‘Vecher s Vladimirom Solovyovym’@ Rossiya 1 (49:44)";"Russian";"Ukraine";"Pavel Spirin, former journalist";"Protest, Nazi/Fascist";"http://bit.ly/2qkWTYv";"The street protests in Ukraine during Victory Day 9th of May showed that in Ukraine there is a Nazi government and a basically anti-fascist people.";"The street protests in Ukraine during Victory Day 9th of May showed that in Ukraine there is a Nazi government and a basically anti-fascist people.";"On the Victory Day of May 9, street conflicts occurred in a few cities of Ukraine because some pro-Russian activists wore the so-called ‘St. George's ribbon’ that has been accepted by Russia as an unofficial symbol of the Soviet victory in WWII and at the same time recognized by Ukraine as a symbol of the Russian invaders, who annexed Crimea in 2014, and pro-Russian separatists, who unleashed the war in Donbas with the support of Moscow. http://bit.ly/2qglkpj. The narrative of a nazi government in Ukraine is often reoccuring in pro-Kremlin disinformation."
"71";"09.05.2017";"gazeta.ru";"Russian";"Ukraine, EU";"StopFake.org";"Trade, AA/DCFTA";"http://bit.ly/2rZOHym";"Ukraine loses from trade with the EU.";"Ukraine loses from trade with the EU.";"Gazeta.ru not only manipulated figures in this article, but also completely ignored the reality regarding Ukrainian exports to the EU: http://bit.ly/2sbYcKp"
"69";"08.05.2017";"Geworld.ge";"Georgian";"Georgia";"Givi Gigitashvili, The Latvian Institute of International Affairs";"Russo-Georgian War, NATO, Vladimir Putin, Referendum";"http://bit.ly/2rjbHoe";"NATO troops’ participation in Georgian military trainings compelled Putin to open new military bases on Georgia’s occupied territories, to hold referendum in South Ossetia to change the name of this region.";"NATO troops’ participation in Georgian military trainings compelled Putin to open new military bases on Georgia’s occupied territories, to hold referendum in South Ossetia to change the name of this region.";"No evidence given. It is a common trait of pro-Kremlin disinformation to claim that hostile actions taken by the Kremlin are due to a provocation from NATO/ the West/ the EU. NATO supports the wide-ranging democratic and institutional reform process underway in Georgia, who aspires to be a member of the organisation http://bit.ly/2pKw00E."
"69";"08.05.2017";"Geworld.ge";"Georgian";"Georgia";"Givi Gigitashvili, The Latvian Institute of International Affairs";"EU/NATO enlargement";"http://bit.ly/2rjbHoe";"The Georgian people have lost their moral values due to Euro-Atlantic integration.";"The Georgian people have lost their moral values due to Euro-Atlantic integration.";"No evidence given. It is a common trait of pro-Kremlin disinformation to claim that Europe and the West are morally deplorable and have no values, as opposed to Russia who stands for traditional values."
"69";"08.05.2017";"Geworld.ge";"Georgian";"US, Georgia, Syria";"Givi Gigitashvili, The Latvian Institute of International Affairs";"Arab Spring, Colour revolutions";"http://bit.ly/2rjbHoe";"The US has disintegrated Georgia and Syria by orchestrating colour revolutions and the Arab spring; the US is now the biggest threat to Georgian reunification.";"The US has disintegrated Georgia and Syria by orchestrating colour revolutions and the Arab spring; the US is now the biggest threat to Georgian reunification.";"No evidence given. It is a often repeated pro-Kremlin disinformation to claim that the West has orchestrated popular uprisings."
"69";"08.05.2017";"Sputnik";"English";"Qatar, Syria";"Polygraph.info";"Al Jazeera, Chemical weapons/attack, Syrian War";"http://bit.ly/2qI8YYt";"A European country has ordered Qatar-based television channel Al-Jazeera's stringers to film a staged chemical attack in the settlements of Seraqeb, Erich and Jisr Shughur (Idlib province) in Syria.";"A European country has ordered Qatar-based television channel Al-Jazeera's stringers to film a staged chemical attack in the settlements of Seraqeb, Erich and Jisr Shughur (Idlib province) in Syria.";"No evidence given, repeating disinformation from last week http://bit.ly/2qi4cA4. Al Jazeera denied the accusation as defamation: http://bit.ly/2qgkryi. This is a technique of spreading disinformation that is well-known; reporting something unsubstantiated in order to later be able to refer back to that ""as previously reported""."
"71";"08.05.2017";"La Repubblica.it";"Italian";"Ukraine, EU";"StopFake.org";"Other";"http://bit.ly/2pdyo01";"Kyiv demands extradition of representatives of the EU.";"Kyiv demands extradition of representatives of the EU.";"Italian translation of the Público disinformation debunked above."
"69";"08.05.2017";"Aeronet";"Czech";"France";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Big business, Elections, Marine Le Pen";"http://bit.ly/2pNxGCO";"Bankers and globalists bribed Marine le Pen to lose the elections. Le Pen agreed on the deal in order to save her party from bankrupcy.";"Bankers and globalists bribed Marine le Pen to lose the elections. Le Pen agreed on the deal in order to save her party from bankrupcy.";"No evidence given of anything other than a legitimate vote in the second round of the French presidential election. Marine Le Pen lost the second round."
"69";"08.05.2017";"Protiproud";"Czech";"EU, France";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Secret elites / global elites, Elections";"http://bit.ly/2pNO5XW";"The results of French presidential elections were set in advance by globalists and Brussels elites.";"The results of French presidential elections were set in advance by globalists and Brussels elites.";"No evidence given. Marine Le Pen lost the second round of the democratic election."
"69";"08.05.2017";"Geworld.ge";"Georgian";"Turkey, Russia, Georgia";"Givi Gigitashvili, The Latvian Institute of International Affairs";"Council of Europe, Russo-Georgian War";"http://bit.ly/2rjbHoe";"By burning all bridges with Russia, Georgia has turned into a slave of Turkey. During Georgian PM’s meeting with his Turkish counterpart last week, Georgian flag was not displayed next to Turkish flag, proving that Ankara does not accept Georgia as an independent, sovereign state, but as a vassal country only.";"By burning all bridges with Russia, Georgia has turned into a slave of Turkey. During Georgian PM’s meeting with his Turkish counterpart last week, Georgian flag was not displayed next to Turkish flag, proving that Ankara does not accept Georgia as an independent, sovereign state, but as a vassal country only.";"No evidence given. Turkey recognized the independence of Georgia on 16 December 1991. Turkey’s relations with Georgia are at strategic level. Turkey has been the biggest trade partner of Georgia since 2007 and among the leading investor countries to Georgia. Turkey strongly supports territorial integrity of Georgia and does not recognize the so-called independence of Abkhazia and South Ossetia.http://bit.ly/2pOfclm"
"69";"08.05.2017";"Geworld.ge";"Georgian";"Turkey, Georgia";"Givi Gigitashvili, The Latvian Institute of International Affairs";"Christmas, Christianity";"http://bit.ly/2rjbHoe";"Turkey prohibits Georgia to celebrate its national holidays. Ankara might also forbid Georgia to celebrate Christian religious holidays, such as Easter and Christmas, since Islam does not admit them.";"Turkey prohibits Georgia to celebrate its national holidays. Ankara might also forbid Georgia to celebrate Christian religious holidays, such as Easter and Christmas, since Islam does not admit them.";"No evidence given. On several occations we have noticed similar disinformation in EU member states, where it is claimed in pro-Kremlin media that Muslims will cause countries to cancel Christmas or not celebrate according to their own traditions.http://bit.ly/2qr6rPF"
"69";"07.05.2017";"VeteransToday";"English";"Israel, Syria, Saudi Arabia";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Chemical weapons/attack, New World Order, Syrian War, Bashar al-Assad";"http://bit.ly/2qjM60e";"The recent chemical attack in Syria was a false flag operation orchestrated by Saudi Arabia, Israel and New World Order agents. The rebels, unlike Assad, have been proven guilty of using sarin.";"The recent chemical attack in Syria was a false flag operation orchestrated by Saudi Arabia, Israel and New World Order agents. The rebels, unlike Assad, have been proven guilty of using sarin.";"As we have reported, this is repeated disinformation http://bit.ly/2pkPadA, http://bit.ly/2pyEOGP. There are several conspiracy theories about his attack but none has yet been evidenced http://bit.ly/2oaRwcQ. The OPCW has concluded that the Assad regime has used chemical weapons earlier. http://bit.ly/2pkPadA."
"69";"07.05.2017";"Sputnik";"French";"France";"Kremlin Watch (European Values think-tank), http://www.europeanvalues.net/kremlinwatch/";"Manipulated elections/referendum, Elections, Marine Le Pen";"http://bit.ly/2qnuxdZ";"The French presidential election was rigged, Le Pen ballots were deliberately damaged";"The French presidential election was rigged, Le Pen ballots were deliberately damaged";"No evidence given."
"69";"07.05.2017";"RIA Novosti";"Russian";"West, USSR, Russia";"Pavel Spirin, former journalist";"WWII";"http://bit.ly/2r9K4Re";"Soviet victory in WWII was ""a symbol of the highest achievement of historical Russia in its confrontation with the collective West"".";"Soviet victory in WWII was ""a symbol of the highest achievement of historical Russia in its confrontation with the collective West"".";"The Soviet Union was fighting Nazi Germany, which was also fought by the Allied Western countries - the USSR was not fighting a collective West."
"69";"06.05.2017";"Sputnik";"Russian";"Europe, Russia, Georgia";"Polygraph.info";"Council of Europe, Russo-Georgian War";"http://bit.ly/2r8BUss";"The Council of Europe decision declares Abkhazia’s and South Ossetia’s fictitious attachment to Georgia, and makes an effort to place on Russia the responsibility for Georgia’s conflict-ridden relations with these republics, which never belonged to Georgia.";"The Council of Europe decision declares Abkhazia’s and South Ossetia’s fictitious attachment to Georgia, and makes an effort to place on Russia the responsibility for Georgia’s conflict-ridden relations with these republics, which never belonged to Georgia.";"The Council of Europe reiterates its support for Georgia in this document http://bit.ly/2qI5BAH. Abkhazia and South Ossetia are historically integral parts of Georgia, and also Russia has recognized them as parts of Georgia in multiple international agreements, including numerous United Nations Security Council resolutions dating back to 1993. The narrative that they never belonged to Georgia is seemingly a new one. http://bit.ly/2pNQ39I"
"68";"05.05.2017";"eadaily.com";"Russian";"Ukraine, EU";"East Stratcom Network";"Natural resources, Junta, Nazi/Fascist";"http://bit.ly/2qh7qoj";"The EU is robbing Ukraine's soil and resources. // There is a junta/fascist regime in Ukraine.";"The EU is robbing Ukraine's soil and resources. // There is a junta/fascist regime in Ukraine.";"No evidence given, often repeated disinformation. // The spontaneous onset of the Euromaidan protests was a reaction of large parts of the Ukrainian population to former President Yanukovych’s sudden departure from the Association Agreement with the European Union in November 2013. The total number of members of radical groups, e.g. the ""Right Sector"", never amounted to more than a few hundred to a maximum of a thousand people http://bit.ly/1Tl9X7W. The 2014 presidential election in Ukraine was a genuine election largely in line with international commitments and respecting fundamental freedoms, despite the hostile security environment in two eastern regions of the country http://bit.ly/1hqcDuR. Similarly, Ukraine’s local elections in October 2015 were competitive and generally showed respect for the democratic process http://bit.ly/1VUL9V5."
"69";"05.05.2017";"Interfax";"Russian";"Russia, US";"Polygraph.info";"Destabilising Russia";"http://bit.ly/2qiUVqM";"The US is trying to take control of Russian sea ports.";"The US is trying to take control of Russian sea ports.";"No evidence given. On May 4, the U.S. House of Representatives passed revised legislation outlining the American response to new threats posed by North Korea’s nuclear aspirations. H.R.1644, the Korean Interdiction and Modernization of Sanctions Act, sets out enhanced measures for identifying and inspecting foreign seaports and airports that “knowingly” violate the UN Security Council resolution on North Korea. These include two ports in China, eleven in Iran, four in Syria and three in Russia. The bill would sanction ports and port operators that fail to comply with UN Security Council resolutions. http://bit.ly/2rhAdpP"
"71";"05.05.2017";"Público";"Spain";"Ukraine, EU";"StopFake.org";"Other";"http://bit.ly/2sz7fT5";"Kyiv demands extradition of representatives of the EU.";"Kyiv demands extradition of representatives of the EU.";"Ukraine’s General Prosecutor’s Office (GPO), which is responsible for extraditions, said they had not received any requests for such an extradition from Ukrainian police, nor had they issued any extradition requests to EU authorities http://bit.ly/2r0YiQy."
"71";"05.05.2017";"rossaprimavera.ru";"Russian";"Ukraine, EU";"StopFake.org";"Other";"http://bit.ly/2rwwEhX";"Kyiv demands extradition of representatives of the EU.";"Kyiv demands extradition of representatives of the EU.";"Russian translation of the Público disinformation debunked above."
"68";"05.05.2017";"lenta.ru";"Russian";"Europe, Ukraine";"East Stratcom Network";"Donbas";"http://bit.ly/2pXGEhN";"The Euro-oriented part of the Ukrainian society does not want to re-unite with Donbas.";"The Euro-oriented part of the Ukrainian society does not want to re-unite with Donbas.";"No evidence given. On the contrary, the Ukrainian government has many times said they want the occupied territories back: http://bit.ly/2qgVYsw"
